Training Step,Reward,Value Error
12500,-1.4577239187511517,450802.44145287276
25000,-0.8207880621210368,391031.63776988984
37500,-0.5726616871255074,370556.65435075364
50000,-0.1039694867481017,286547.46618444525
62500,-0.038290204213732686,233257.50277498562
75000,0.005577654065866601,182382.75926249425
87500,0.04742722716405504,166166.6640613079
100000,0.07617390500108949,153394.73147152562
112500,0.08849794816572716,136734.23971293072
125000,0.10349590010697314,128343.39072151581
137500,0.12191422161377875,127747.61097084731
150000,0.14371215030506138,131422.23139592362
162500,0.16921973597398107,132259.4182216704
175000,0.19546823332674745,134909.10275171997
187500,0.24852422944921207,137898.18520670632
200000,0.3054940816852835,154435.9373724088
212500,0.4050576636197542,179152.48058840632
225000,0.48710083116883807,213820.51607438724
237500,0.5785230320787401,252203.96223390996
250000,0.6324452195189593,282861.55808572273
262500,0.7004108324235881,307467.56085654494
275000,0.7507254448303885,316907.7324683606
287500,0.7997660961039945,314209.0939528346
300000,0.8312639401860662,298687.94557978114
312500,0.8675864707052098,278873.59424022236
325000,0.8993736730613899,255064.42035941678
337500,0.9145806293815326,232567.29853929975
350000,0.908999418622814,214762.26449129087
362500,0.9115278324592729,213788.532798179
375000,0.9015250896826,220090.27566120328
387500,0.9141788348539323,220284.4134046296
400000,0.9219702368196678,221643.29450833797
412500,0.9404756669229014,229022.25880506533
425000,0.9432674896777392,249850.73057029746
437500,0.939090214339298,296532.83089052635
450000,0.9664489399016075,396495.71432183887
462500,0.9716429236622006,473728.4240812282
475000,0.9732472899921424,477027.7959328224
487500,0.9270926952475532,387028.68602699245
500000,0.9310039365536631,340495.19898545643
