Training Step,Steps,Reward
0,76.97,-542.4546210655019
25000,948.1350000000002,-128.67477981779263
50000,797.4799999999999,-41.2114009131861
75000,716.1400000000001,105.48950508400264
100000,653.4750000000001,150.84081431498709
125000,503.55,163.1507288911796
150000,414.33500000000004,175.58907212969223
175000,467.18500000000006,191.36383360439297
200000,383.32,213.82565862642542
225000,387.515,211.3655162638895
250000,390.74999999999994,197.186622466478
275000,317.91,207.44800715458797
300000,290.635,220.5042704506528
325000,280.71999999999997,211.85889766139462
350000,306.22499999999997,220.31250338931494
375000,299.9,219.13484801886096
400000,328.885,232.73010891633558
425000,300.995,236.65817071418252
450000,325.445,230.73053625121648
475000,280.82499999999993,244.8195469895617
500000,282.13499999999993,241.860087421238
