Training Step,Reward,Value Error
12500,-1.632089648286277,482026.0418641567
25000,-0.16447793179408288,284264.4374066591
37500,-0.12105472977784457,297718.40496373177
50000,-0.04506145337951824,167837.3640140295
62500,0.0044954098516473435,141793.66530525684
75000,0.016420214445691615,135892.85402953625
87500,0.034709685864130826,125156.3532742858
100000,0.02525438905660469,122233.52680939436
112500,0.08479882597493404,129933.76840394735
125000,0.0829879458261604,115032.39961594343
137500,0.1581645729711867,77771.4524166584
150000,0.19917346964840185,56818.13060095906
162500,0.20098229357125216,60327.24656370282
175000,0.27975484977959886,110485.40980872512
187500,0.30469663084828863,152767.5981556177
200000,0.46592584273783205,182103.3958376646
212500,0.506444891276182,205490.93060788512
225000,0.5747224057154314,234823.92549401522
237500,0.6251135133731126,234268.80976432562
250000,0.7359973152133653,264800.25768595934
262500,0.7774150917642092,283256.85028511286
275000,0.814837389381846,316568.31453830004
287500,0.7561828293902766,312666.0632105768
300000,0.99711455956951,279172.47585484385
312500,1.0025271382768834,219362.1590720713
325000,0.963495593698376,190779.3328064978
337500,0.7212585167971268,180365.79968062043
350000,1.01891168996908,220059.3089593947
362500,0.9304064292825464,255399.13488855958
375000,0.8653916152165719,285466.82127055526
387500,0.7391287326852656,261804.2736018896
400000,0.9256428976716781,237588.8586961031
412500,0.8569507996320256,231549.85658931732
425000,0.7904166239130553,298308.4530964494
437500,0.8290420949632465,392036.72465491295
450000,0.6840672981720021,337346.2887490988
462500,0.8971321313329895,261169.11336678267
475000,0.8976916765174616,223257.42225903273
487500,0.8060302670478592,188049.9257108569
500000,0.7889025963710864,149961.61578470469
