Training Step,Reward,Value Error
12500,-1.9338206529049242,0.0
25000,-1.9922882337607526,0.0
37500,-1.9684661797743506,0.0
50000,-1.8681866366042612,0.0
62500,-2.002785716727593,0.0
75000,-1.9524070638843682,0.0
87500,-2.0153913353102575,0.0
100000,-1.9752089816548573,0.0
112500,-1.977134957040191,0.0
125000,-1.9505587071601507,0.0
137500,-1.9445813407108552,0.0
150000,-1.9953119391587695,0.0
162500,-1.9123611055640737,0.0
175000,-1.9602421519042976,0.0
187500,-1.9992629265088002,0.0
200000,-1.9493253705303595,0.0
212500,-1.9631259356245772,0.0
225000,-1.9838847338098646,0.0
237500,-1.96374065571975,0.0
250000,-1.9774229793725726,0.0
262500,-1.8705633067120915,0.0
275000,-2.0161928249014385,0.0
287500,-2.0227329571921855,0.0
300000,-2.068504753194163,0.0
312500,-1.9771474000703662,0.0
325000,-1.9381274758080345,0.0
337500,-1.9188619494171042,0.0
350000,-2.0487503809003256,0.0
362500,-1.9701491440849899,0.0
375000,-2.0007488799616024,0.0
387500,-1.9505859101181096,0.0
400000,-2.021055992173886,0.0
412500,-1.9837584175365268,0.0
425000,-1.9760383611822916,0.0
437500,-1.9626031874093328,0.0
450000,-1.9178965760857039,0.0
462500,-1.9960863079679023,0.0
475000,-1.977042523724019,0.0
487500,-1.9655814274503889,0.0
500000,-1.979440088616818,0.0
