Training Step,Reward,Value Error
12500,-1.9666552973198688,0.0
25000,-2.156061121752263,0.0
37500,-1.8464069538060308,0.0
50000,-1.9140641294586958,0.0
62500,-1.9640775055331727,0.0
75000,-1.901549268591131,0.0
87500,-2.1169140715811103,0.0
100000,-2.0119356189117017,0.0
112500,-2.0176064927016095,0.0
125000,-1.8644142905456063,0.0
137500,-1.895217483236926,0.0
150000,-1.9916166651317555,0.0
162500,-2.067849831390104,0.0
175000,-2.063034413368773,0.0
187500,-2.137987162367911,0.0
200000,-1.9737684681767482,0.0
212500,-1.9645779765783145,0.0
225000,-1.972028526088224,0.0
237500,-2.0121977705183474,0.0
250000,-1.9663925823985575,0.0
262500,-2.0149730463097257,0.0
275000,-2.092607677672235,0.0
287500,-2.0051826432195394,0.0
300000,-2.196241942020507,0.0
312500,-2.166705962210105,0.0
325000,-1.9382452302725772,0.0
337500,-1.864292966145136,0.0
350000,-2.130334810840042,0.0
362500,-1.9221709385959298,0.0
375000,-1.907925296561627,0.0
387500,-1.9868244586601476,0.0
400000,-1.9646976122196178,0.0
412500,-2.0962337318786344,0.0
425000,-1.8415435435360097,0.0
437500,-1.888667758952018,0.0
450000,-1.8781228475767624,0.0
462500,-1.9612058101752181,0.0
475000,-2.090672504465067,0.0
487500,-1.9945613654053522,0.0
500000,-1.9805639979309757,0.0
