Training Step,Reward,Value Error
12500,0.38673014544774426,84738.18911213905
25000,0.07117684919746195,156648.33579274648
37500,0.04731856201389081,175181.54858877868
50000,0.061848278887446324,33432.786652226605
62500,0.027007254898893013,36249.762549386425
75000,0.021804052781704553,45904.595553439314
87500,0.027694927475020458,51439.2264283177
100000,0.025571962695067462,47433.65337590263
112500,0.025640757354210255,45137.28673282266
125000,0.02313643825519731,47311.092360964234
137500,0.03808327794008392,299923.28420741815
150000,0.04078344411815306,277712.20049439545
162500,0.03702068916147757,47581.241938952786
175000,0.04690599289027057,58051.40452036853
187500,0.06714844171656675,86187.50456102617
200000,0.0485995004614942,259279.45898469762
212500,0.07918828145404348,203565.913251433
225000,0.0862234965875512,70945.0974692729
237500,0.10474863876727346,108009.80417791205
250000,0.16669744864596114,273087.5040501332
262500,0.2214775848860954,386905.1875368603
275000,0.18370546514944333,106748.79605553893
287500,0.1601263063230801,85895.50834539538
300000,0.09254130989997447,137091.6483794845
312500,0.1195904588677695,140229.0353382173
325000,0.13838957843431635,253188.4467852442
337500,0.177770546048104,85885.0896307468
350000,0.15356095954476792,270639.5874233517
362500,0.13833738478847193,315335.74894367065
375000,0.13945918592787504,354328.7171579443
387500,0.1970886051948976,1048439.2048343149
400000,0.15856621800057752,511770.0127201538
412500,0.18089380711063874,281037.77284954477
425000,0.14815548939015927,459157.43909686443
437500,0.167088803264842,576354.9827582738
450000,0.17920816653523808,120747.62080170723
462500,0.25075211476972575,175721.25532208706
475000,0.1752923944050005,351910.0665839622
487500,0.13758176039898506,340523.032086258
500000,0.14293214104181387,63059.914827733504
