Training Step,Reward,Value Error
12500,-1.106305349556868,522240.95860505104
25000,-0.09840362358281741,322402.81028842926
37500,-0.07399856250261891,327141.80379617214
50000,-0.03843910090892364,167889.4243531227
62500,0.060363970334336194,163553.59581196308
75000,0.08086210037775653,142952.96193695068
87500,0.10130509526254824,98914.74824479222
100000,0.0967050657680092,70769.96181488037
112500,0.109242847299392,89987.88865208626
125000,0.11168427820180422,97665.10995399952
137500,0.15263510198338748,72005.49117222428
150000,0.10421025088154821,85842.0866317898
162500,0.1834963436858083,86014.56996142864
175000,0.18082258426230158,100807.7376408875
187500,0.27683425777519294,111950.16727113724
200000,0.3783663386554724,187815.99546404183
212500,0.4361434748138702,221095.7964848131
225000,0.5018756580148055,259294.22281062603
237500,0.35176441774258405,260471.63060861826
250000,0.6521042414766692,256803.10093134642
262500,0.6759220480531829,275127.2355237603
275000,0.817539420905108,291530.2652835399
287500,0.7900158493308816,302234.08953137696
300000,1.0201683787963316,310755.98733247817
312500,1.0831480954038761,309096.969786644
325000,0.9394792295743187,323677.7225703448
337500,1.1164902594789277,308486.25005602837
350000,1.0384703598912297,347589.87526130676
362500,0.930111678058702,359295.8749322146
375000,0.8527566639241633,294770.8433730006
387500,0.9459606992854089,232005.52907139063
400000,0.8623030887203955,213433.47586607933
412500,0.7428478400914116,228105.26287654042
425000,0.9700427195706879,214196.95930963755
437500,0.7671803441249282,207702.36508265138
450000,0.9635667403645679,221638.1037785709
462500,0.9956852136170812,235115.14985099435
475000,0.977466275862719,237751.5157429576
487500,0.8817563787480557,220783.8575823009
500000,0.9460809302455085,214706.4683443308
