Training Step,Reward,Value Error
25000,-25000.0,12591.278077938956
50000,-25000.0,83727.48581179472
75000,-25000.0,182584.04262907009
100000,-25000.0,270234.789042672
125000,-25000.0,336019.7798346801
150000,-25000.0,388808.94879844075
175000,-25000.0,408818.83748012217
200000,-25000.0,404719.3859620026
225000,-25000.0,421698.6723021938
250000,-25000.0,409141.67055808555
275000,-25000.0,434308.61704947083
300000,-25000.0,444704.32940750674
325000,-25000.0,421889.72458124085
350000,-25000.0,415783.149805269
375000,-25000.0,408837.6962408034
400000,-25000.0,417564.51747031667
425000,-25000.0,418500.44180906285
450000,-25000.0,399897.76338561624
475000,-25000.0,352442.3293481838
500000,-25000.0,340714.4223489451
525000,-25000.0,369988.0930735258
550000,-25000.0,378541.4530118975
575000,-25000.0,349249.9360496543
600000,-25000.0,338986.9824351251
625000,-25000.0,340212.31535796414
650000,-25000.0,345336.49306652293
675000,-25000.0,345849.78894239216
700000,-25000.0,342756.8794079884
725000,-25000.0,316446.7879712184
750000,-25000.0,278594.13287470123
775000,-25000.0,241519.6266844697
800000,-25000.0,260555.84926282815
825000,-25000.0,287508.5785025811
850000,-25000.0,263727.98067513166
875000,-25000.0,212157.47844817973
900000,-25000.0,243514.4733664752
925000,-25000.0,259826.54081618413
950000,-25000.0,225117.41180787212
975000,-25000.0,230237.88905004534
1000000,-25000.0,209886.9555204888
