Training Step,Steps,Reward
0,200.0,-200.0
50000,200.0,-200.0
100000,200.0,-200.0
150000,200.0,-200.0
200000,193.615,-193.615
250000,196.45499999999998,-196.45499999999998
300000,189.07,-189.07
350000,188.565,-188.565
400000,184.47,-184.47
450000,177.1,-177.1
500000,175.70499999999998,-175.70499999999998
550000,175.66,-175.66
600000,180.07999999999998,-180.07999999999998
650000,176.185,-176.185
700000,172.995,-172.995
750000,164.125,-164.125
800000,169.525,-169.525
850000,162.745,-162.745
900000,170.90000000000003,-170.90000000000003
950000,154.975,-154.975
1000000,156.56,-156.56
