Training Step,Reward,Value Error
25000,0.0,1074.6650900660197
50000,0.0,4757.810715727984
75000,0.0,5919.039617405218
100000,0.0,9568.563616450036
125000,0.0,32236.64080344665
150000,0.0,44052.70194941794
175000,0.0,52077.80510580459
200000,0.0,76790.37551547847
225000,0.0,172849.82827111095
250000,0.0,233729.8946981556
275000,0.0,267266.8309866953
300000,0.0,180138.13531754876
325000,0.0,230968.23780485103
350000,0.0,247660.9617530841
375000,0.0,288832.027735371
400000,0.0,280236.30187880044
425000,0.0,268188.23451240745
450000,0.0,282894.0875965587
475000,0.0,290407.82435510436
500000,0.0,317630.08700147644
525000,0.0,308179.67299621576
550000,0.0,315711.9363084034
575000,0.0,326527.23037175083
600000,0.0,311717.8723256292
625000,0.0,304697.64923759387
650000,0.0,303668.209031922
675000,0.0,311659.2897678506
700000,0.0,290500.4427442206
725000,0.0,299217.8199562143
750000,0.0,321479.76233945333
775000,0.0,316136.86621706106
800000,0.0,318758.55591145915
825000,0.0,293521.21346890426
850000,0.0,273309.09357489925
875000,0.0,329923.57551099337
900000,0.0,300617.279498474
925000,0.0,308026.251294821
950000,0.0,287948.95825468766
975000,0.0,280888.6340106591
1000000,0.0,291494.8958850423
