Training Step,Reward,Value Error
25000,0.0,411.9306422839142
50000,0.0,1418.9860960323222
75000,0.0,3162.8922326598336
100000,0.0,5988.06957164488
125000,0.0,9089.204877699065
150000,0.0,12602.403827758986
175000,0.0,24123.294791948574
200000,0.0,61421.64966510688
225000,0.0,111500.08888635544
250000,0.0,156357.40164208823
275000,0.0,178068.75685308172
300000,0.0,192171.46934889336
325000,0.0,197036.94277276887
350000,0.0,209186.6053461535
375000,0.0,224335.274065776
400000,0.0,241862.79576247875
425000,0.0,243380.0911436487
450000,0.0,240104.22904269258
475000,0.0,240349.51133188626
500000,0.0,244270.67044204785
525000,0.0,236508.52579423646
550000,0.0,225354.93879069193
575000,0.0,226425.07047162115
600000,0.0,232036.0865814227
625000,0.0,230615.14021871265
650000,0.0,217418.84592070198
675000,0.0,212098.30147474562
700000,0.0,220173.48208990032
725000,0.0,217310.80676024815
750000,0.0,202905.8551648477
775000,0.0,182110.48160285954
800000,0.0,175755.72918169558
825000,0.0,174320.6305903927
850000,0.0,178163.79229659095
875000,0.0,178856.23476149896
900000,0.0,181270.28375253142
925000,0.0,179339.40951652915
950000,0.0,175225.56750869736
975000,0.0,172764.21950346357
1000000,0.0,172331.20101305182
