Training Step,Steps,Reward
0,200.0,-200.0
50000,200.0,-200.0
100000,198.98499999999999,-198.98499999999999
150000,199.625,-199.625
200000,196.28,-196.28
250000,170.2,-170.2
300000,192.98999999999998,-192.98999999999998
350000,178.82999999999998,-178.82999999999998
400000,181.95,-181.95
450000,183.41,-183.41
500000,162.805,-162.805
550000,157.965,-157.965
600000,163.55,-163.55
650000,176.97,-176.97
700000,170.255,-170.255
750000,170.07,-170.07
800000,161.16500000000002,-161.16500000000002
850000,170.5,-170.5
900000,160.125,-160.125
950000,158.94,-158.94
1000000,168.10500000000002,-168.10500000000002
