Training Step,Reward,Value Error
25000,-25000.0,12716.209260166172
50000,-25000.0,84353.42840906366
75000,-25000.0,182080.71093151259
100000,-25000.0,257432.18095274366
125000,-25000.0,325841.4669980034
150000,-25000.0,378550.14046880195
175000,-25000.0,403204.64578225935
200000,-25000.0,347917.19052421895
225000,-25000.0,298422.58645133546
250000,-25000.0,123747.32492762605
275000,-25000.0,55977.59801738571
300000,-25000.0,294607.06228075933
325000,-25000.0,457640.4811802432
350000,-25000.0,316734.9406237695
375000,-25000.0,80294.96564942609
400000,-25000.0,33410.10527210511
425000,-25000.0,51550.1312571405
450000,-25000.0,43615.617202511836
475000,-25000.0,31463.654208897053
500000,-25000.0,37609.21617114225
525000,-25000.0,71815.67068637755
550000,-25000.0,82763.90820453568
575000,-25000.0,38527.5782932131
600000,-25000.0,17877.909261977806
625000,-25000.0,13948.378694452289
650000,-25000.0,45268.918295727635
675000,-25000.0,68994.34031187335
700000,-25000.0,12404.607008945875
725000,-25000.0,26022.166548098652
750000,-25000.0,15125.362866869593
775000,-25000.0,14794.568481406592
800000,-25000.0,17094.733191382846
825000,-25000.0,30839.861702918955
850000,-25000.0,18161.037315295696
875000,-25000.0,7977.183994062251
900000,-25000.0,11787.853964954698
925000,-25000.0,21023.19051521864
950000,-25000.0,32371.02627736745
975000,-25000.0,19073.02399500912
1000000,-25000.0,21950.901139228023
