Training Step,Steps,Reward
0,200.0,-200.0
50000,200.0,-200.0
100000,170.39000000000001,-170.39000000000001
150000,154.10000000000002,-154.10000000000002
200000,117.15499999999997,-117.15499999999997
250000,104.575,-104.575
300000,105.46,-105.46
350000,102.195,-102.195
400000,102.14,-102.14
450000,101.36,-101.36
500000,101.07500000000002,-101.07500000000002
550000,100.78,-100.78
600000,102.85999999999999,-102.85999999999999
650000,103.91999999999999,-103.91999999999999
700000,102.1,-102.1
750000,102.09,-102.09
800000,100.12499999999999,-100.12499999999999
850000,102.035,-102.035
900000,100.10499999999999,-100.10499999999999
950000,101.025,-101.025
1000000,102.785,-102.785
