Training Step,Steps,Reward
0,200.0,-200.0
50000,199.495,-199.495
100000,191.36666666666667,-191.36666666666667
150000,172.08,-172.08
200000,145.22666666666666,-145.22666666666666
250000,121.97166666666668,-121.97166666666668
300000,110.06833333333334,-110.06833333333334
350000,104.67166666666667,-104.67166666666667
400000,103.52500000000002,-103.52500000000002
450000,102.055,-102.055
500000,102.75999999999999,-102.75999999999999
550000,102.58333333333333,-102.58333333333333
600000,104.49833333333333,-104.49833333333333
650000,103.68,-103.68
700000,103.49666666666667,-103.49666666666667
750000,102.02833333333332,-102.02833333333332
800000,101.77166666666666,-101.77166666666666
850000,101.60333333333334,-101.60333333333334
900000,101.49666666666667,-101.49666666666667
950000,101.62666666666667,-101.62666666666667
1000000,101.88333333333333,-101.88333333333333
