Training Step,Steps,Reward
0,200.0,-200.0
50000,199.32999999999998,-199.32999999999998
100000,180.01000000000002,-180.01000000000002
150000,129.20499999999998,-129.20499999999998
200000,111.75,-111.75
250000,103.01000000000002,-103.01000000000002
300000,101.33,-101.33
350000,99.095,-99.095
400000,101.57000000000001,-101.57000000000001
450000,99.3,-99.3
500000,101.59,-101.59
550000,104.69500000000001,-104.69500000000001
600000,101.98,-101.98
650000,109.76499999999999,-109.76499999999999
700000,101.88999999999999,-101.88999999999999
750000,100.34,-100.34
800000,101.75,-101.75
850000,102.75999999999999,-102.75999999999999
900000,100.00500000000001,-100.00500000000001
950000,103.10499999999999,-103.10499999999999
1000000,105.36500000000001,-105.36500000000001
