Training Step,Reward,Value Error
25000,-25000.0,11473.97741092001
50000,-25000.0,80180.03045472359
75000,-25000.0,135012.15628413807
100000,-25000.0,76457.27157581793
125000,-25000.0,56015.44059063142
150000,-25000.0,21912.118216555573
175000,-25000.0,69423.60102022967
200000,-25000.0,26228.574084157808
225000,-25000.0,12696.891502478453
250000,-25000.0,4235.406374626474
275000,-25000.0,2829.0412772990326
300000,-25000.0,1847.8575133597462
325000,-25000.0,2550.958827177999
350000,-25000.0,2978.8698305422668
375000,-25000.0,2705.701557855417
400000,-25000.0,4354.097220325235
425000,-25000.0,3711.074815732723
450000,-25000.0,3745.3722224297776
475000,-25000.0,3358.677961113242
500000,-25000.0,2990.584078455666
525000,-25000.0,2962.611932260279
550000,-25000.0,2737.6874810888794
575000,-25000.0,3961.62428833329
600000,-25000.0,3676.1535941107745
625000,-25000.0,2626.968447827737
650000,-25000.0,2921.5413188729344
675000,-25000.0,2438.4819317416664
700000,-25000.0,2669.818324689145
725000,-25000.0,3694.438172160972
750000,-25000.0,3976.927318335208
775000,-25000.0,2433.8393055768865
800000,-25000.0,2924.197768238666
825000,-25000.0,1811.2841249337966
850000,-25000.0,1712.8836534718541
875000,-25000.0,1445.6634352218077
900000,-25000.0,2649.3309068062035
925000,-25000.0,2426.3387281531454
950000,-25000.0,3054.87884549798
975000,-25000.0,2792.966329729506
1000000,-25000.0,2060.105208454967
