Training Step,Steps,Reward
0,200.0,-200.0
50000,200.0,-200.0
100000,183.24,-183.24
150000,147.28,-147.28
200000,117.14000000000001,-117.14000000000001
250000,106.165,-106.165
300000,107.795,-107.795
350000,101.36999999999999,-101.36999999999999
400000,105.23999999999998,-105.23999999999998
450000,102.185,-102.185
500000,101.87999999999998,-101.87999999999998
550000,101.63000000000001,-101.63000000000001
600000,103.48499999999999,-103.48499999999999
650000,101.77000000000001,-101.77000000000001
700000,103.175,-103.175
750000,103.775,-103.775
800000,102.62,-102.62
850000,104.88000000000002,-104.88000000000002
900000,101.145,-101.145
950000,104.11500000000001,-104.11500000000001
1000000,103.21,-103.21
