Training Step,Steps,Reward
0,0.0,0.0
50000,11.91356605932917,11.91356605932917
100000,16.20388046453556,16.20388046453556
150000,21.36190576497758,21.36190576497758
200000,16.656491989868453,16.656491989868453
250000,9.35520299471578,9.35520299471578
300000,5.848964605470235,5.848964605470235
350000,4.3854972408127,4.3854972408127
400000,3.91869811503868,3.91869811503868
450000,2.7640390657762453,2.7640390657762453
500000,7.556101326291081,7.556101326291081
550000,7.6832953754476385,7.6832953754476385
600000,8.63752320159744,8.63752320159744
650000,2.8733177304611446,2.8733177304611446
700000,3.1582180822739363,3.1582180822739363
750000,2.10792002374253,2.10792002374253
800000,2.025093657364934,2.025093657364934
850000,2.167094561411349,2.167094561411349
900000,4.000793319278153,4.000793319278153
950000,3.978805726431791,3.978805726431791
1000000,3.7356930859182675,3.7356930859182675
