Training Step,Steps,Reward
0,0.0,0.0
50000,0.0,0.0
100000,11.091181306685854,11.091181306685854
150000,16.238320749565215,16.238320749565215
200000,21.363083345692633,21.363083345692633
250000,18.210682381939396,18.210682381939396
300000,18.038825175610373,18.038825175610373
350000,16.537722868319214,16.537722868319214
400000,12.638079190566424,12.638079190566424
450000,8.685822151924503,8.685822151924503
500000,5.7313425395708935,5.7313425395708935
550000,2.6823812236208,2.6823812236208
600000,3.5804270522204837,3.5804270522204837
650000,3.636667709247616,3.636667709247616
700000,3.724046174090397,3.724046174090397
750000,3.535943057780802,3.535943057780802
800000,6.679228082847346,6.679228082847346
850000,6.754184813436162,6.754184813436162
900000,6.136335232783399,6.136335232783399
950000,3.715880693930884,3.715880693930884
1000000,4.646077388524378,4.646077388524378
