Training Step,Steps,Reward
0,0.0,0.0
50000,14.58,14.58
100000,5.565000000000004,5.565000000000004
150000,32.989895801593555,32.989895801593555
200000,29.032585572077455,29.032585572077455
250000,20.196521977805983,20.196521977805983
300000,26.556585341492983,26.556585341492983
350000,16.490701167627773,16.490701167627773
400000,20.56905503420125,20.56905503420125
450000,10.752278828229858,10.752278828229858
500000,20.052444364715235,20.052444364715235
550000,13.699857663494173,13.699857663494173
600000,13.25507072783846,13.25507072783846
650000,27.516724005593403,27.516724005593403
700000,15.615076048485962,15.615076048485962
750000,12.713615732748883,12.713615732748883
800000,22.588977400493363,22.588977400493363
850000,14.603202559712718,14.603202559712718
900000,26.39413002923188,26.39413002923188
950000,13.471336236617361,13.471336236617361
1000000,16.415791939470967,16.415791939470967
