Training Step,Reward,Value Error
25000,-25000.0,14247.85023266343
50000,-25000.0,83994.637758055
75000,-25000.0,178927.16733171325
100000,-25000.0,282659.1470622858
125000,-25000.0,329998.9864966646
150000,-25000.0,393416.0794050805
175000,-25000.0,393579.01068131626
200000,-25000.0,336073.0216262862
225000,-25000.0,488268.7809139788
250000,-25000.0,371226.061764732
275000,-25000.0,186646.8492436111
300000,-25000.0,74908.91258689761
325000,-25000.0,114765.85962513089
350000,-25000.0,93375.9032330364
375000,-25000.0,37164.09852452576
400000,-25000.0,27652.885655619204
425000,-25000.0,128332.67336407304
450000,-25000.0,33609.6942602098
475000,-25000.0,10440.812834084034
500000,-25000.0,16925.2850741297
525000,-25000.0,21111.06097190827
550000,-25000.0,17846.895825363696
575000,-25000.0,43343.19674322009
600000,-25000.0,63969.98840215802
625000,-25000.0,15713.100430622697
650000,-25000.0,21436.854880705476
675000,-25000.0,61968.492368876934
700000,-25000.0,42542.16144578159
725000,-25000.0,33812.815984383225
750000,-25000.0,27447.89218389988
775000,-25000.0,32973.81602844596
800000,-25000.0,18746.701060563326
825000,-25000.0,13986.6010158211
850000,-25000.0,28618.80869345367
875000,-25000.0,113349.47487466037
900000,-25000.0,96194.13959470391
925000,-25000.0,54948.79908761382
950000,-25000.0,129313.45887608826
975000,-25000.0,17916.394535943866
1000000,-25000.0,13108.092540249228
