Training Step,Steps,Reward
0,0.0,0.0
50000,0.0,0.0
100000,0.0,0.0
150000,8.01255421198509,8.01255421198509
200000,17.36090537379135,17.36090537379135
250000,24.422776584738205,24.422776584738205
300000,24.081441311096615,24.081441311096615
350000,21.095933896826168,21.095933896826168
400000,20.624850870071615,20.624850870071615
450000,22.588807072845167,22.588807072845167
500000,25.06553360772568,25.06553360772568
550000,27.7478157528975,27.7478157528975
600000,28.026439777029307,28.026439777029307
650000,26.45264256658085,26.45264256658085
700000,24.84909507475724,24.84909507475724
750000,22.803685551331895,22.803685551331895
800000,23.436727615544616,23.436727615544616
850000,19.21273690913663,19.21273690913663
900000,17.592125539093683,17.592125539093683
950000,14.697257733659981,14.697257733659981
1000000,19.635928506401697,19.635928506401697
