Training Step,Steps,Reward
0,0.0,0.0
50000,0.0,0.0
100000,8.397554042034436,8.397554042034436
150000,18.234192469645546,18.234192469645546
200000,27.21032501966705,27.21032501966705
250000,30.071693365380625,30.071693365380625
300000,26.602523473660018,26.602523473660018
350000,21.411581730512648,21.411581730512648
400000,15.286577058419136,15.286577058419136
450000,14.8979359809671,14.8979359809671
500000,15.94055926422619,15.94055926422619
550000,16.79213535536083,16.79213535536083
600000,16.176031344740437,16.176031344740437
650000,16.271396274982834,16.271396274982834
700000,15.337948533348333,15.337948533348333
750000,14.394835425317645,14.394835425317645
800000,17.91108782997166,17.91108782997166
850000,17.96904937516143,17.96904937516143
900000,19.058804798428003,19.058804798428003
950000,17.49167769339662,17.49167769339662
1000000,17.244746669832324,17.244746669832324
