Training Step,Reward,Value Error
25000,-25000.0,11912.889956774216
50000,-25000.0,74687.83343222772
75000,-25000.0,167966.51300063264
100000,-25000.0,267644.3008837141
125000,-25000.0,342027.27040039655
150000,-25000.0,410676.70162354317
175000,-25000.0,305625.0132743418
200000,-25000.0,173675.58815781772
225000,-25000.0,78573.71315261722
250000,-25000.0,56304.683450728655
275000,-25000.0,42660.122515663505
300000,-25000.0,27032.089447036386
325000,-25000.0,5738.21256929636
350000,-25000.0,9483.239429160953
375000,-25000.0,11283.745001100004
400000,-25000.0,9365.159384943545
425000,-25000.0,11283.832228958607
450000,-25000.0,8242.587472453713
475000,-25000.0,9046.300746768713
500000,-25000.0,8381.465512946248
525000,-25000.0,7610.856151089072
550000,-25000.0,7325.491610132158
575000,-25000.0,8349.36294092983
600000,-25000.0,10892.008811056614
625000,-25000.0,11654.587368488312
650000,-25000.0,10204.494222298265
675000,-25000.0,12262.86663261056
700000,-25000.0,10640.081154420972
725000,-25000.0,9893.81117194146
750000,-25000.0,13695.829779438674
775000,-25000.0,13323.046200245619
800000,-25000.0,11878.533792167902
825000,-25000.0,10843.592461958528
850000,-25000.0,10226.619571521878
875000,-25000.0,9330.526634022593
900000,-25000.0,12317.262666478753
925000,-25000.0,11471.065911978483
950000,-25000.0,12077.59429565072
975000,-25000.0,10819.888035550714
1000000,-25000.0,8584.862336322665
