Training Step,Reward,Value Error
25000,-25000.0,12291.134844131215
50000,-25000.0,82298.732187165
75000,-25000.0,166810.13616891904
100000,-25000.0,258889.8649387043
125000,-25000.0,321442.7468013298
150000,-25000.0,360405.6707373522
175000,-25000.0,316915.1311657019
200000,-25000.0,204316.17527749762
225000,-25000.0,280101.82322952896
250000,-25000.0,161668.8417026773
275000,-25000.0,293731.6872182563
300000,-25000.0,162922.12225224823
325000,-25000.0,51290.20632756129
350000,-25000.0,10741.659914880991
375000,-25000.0,7103.824957713485
400000,-25000.0,9047.660015180707
425000,-25000.0,8680.185127228498
450000,-25000.0,10870.853978946805
475000,-25000.0,9825.070299878716
500000,-25000.0,10448.70531822741
525000,-25000.0,8039.720091514289
550000,-25000.0,8871.725947476923
575000,-25000.0,9969.444398418069
600000,-25000.0,10753.229359537363
625000,-25000.0,17228.091625988483
650000,-25000.0,15123.5505374223
675000,-25000.0,11362.803736031055
700000,-25000.0,10739.917143210769
725000,-25000.0,9381.60087710619
750000,-25000.0,13394.36612969637
775000,-25000.0,17766.282701343298
800000,-25000.0,14877.457148954272
825000,-25000.0,40740.13632676005
850000,-25000.0,133332.109700948
875000,-25000.0,29713.758103132248
900000,-25000.0,19050.629983395338
925000,-25000.0,156930.51873286068
950000,-25000.0,87580.28855273128
975000,-25000.0,12916.696791663766
1000000,-25000.0,10975.947552487254
