Training Step,Steps,Reward
0,200.0,-200.0
50000,200.0,-200.0
100000,200.0,-200.0
150000,199.9466666666667,-199.9466666666667
200000,199.9466666666667,-199.9466666666667
250000,197.28333333333333,-197.28333333333333
300000,194.98833333333332,-194.98833333333332
350000,190.79666666666665,-190.79666666666665
400000,187.135,-187.135
450000,184.34833333333333,-184.34833333333333
500000,184.39166666666665,-184.39166666666665
550000,188.33833333333334,-188.33833333333334
600000,189.23833333333334,-189.23833333333334
650000,191.27666666666667,-191.27666666666667
700000,191.0866666666667,-191.0866666666667
750000,188.83666666666667,-188.83666666666667
800000,186.60833333333335,-186.60833333333335
850000,185.12666666666667,-185.12666666666667
900000,186.76333333333332,-186.76333333333332
950000,185.89333333333335,-185.89333333333335
1000000,180.63833333333332,-180.63833333333332
