Training Step,Reward,Value Error
25000,0.0,430.5814472481914
50000,0.0,1365.7606710962878
75000,0.0,3052.3488835284256
100000,0.0,7108.953264120372
125000,0.0,11963.63074261226
150000,0.0,15502.725199214774
175000,0.0,16708.887710245202
200000,0.0,17604.281178350768
225000,0.0,20671.421141054943
250000,0.0,26588.260111296742
275000,0.0,34954.272974387226
300000,0.0,42124.894619633655
325000,0.0,47172.52939084123
350000,0.0,62059.494430451625
375000,0.0,80971.13265270453
400000,0.0,106380.53599378113
425000,0.0,119422.04871000834
450000,0.0,126033.77739639574
475000,0.0,141948.90591557082
500000,0.0,158023.39627133808
525000,0.0,183632.31702794286
550000,0.0,185390.64249253456
575000,0.0,183553.36477924333
600000,0.0,167429.06687882546
625000,0.0,162204.04004130585
650000,0.0,164821.41833823145
675000,0.0,160531.6167384888
700000,0.0,162687.68199874563
725000,0.0,160362.22215739067
750000,0.0,167498.42126912888
775000,0.0,149925.1060676404
800000,0.0,145521.2169979334
825000,0.0,151508.53907988718
850000,0.0,174832.17641705903
875000,0.0,190080.64435048425
900000,0.0,195047.14453115687
925000,0.0,188722.4887580839
950000,0.0,184977.11027226516
975000,0.0,185909.7381721957
1000000,0.0,192870.3511750387
