Training Step,Reward,Value Error
25000,-25000.0,12631.14239047683
50000,-25000.0,48520.61913096246
75000,-25000.0,92826.66461647073
100000,-25000.0,177819.81836999525
125000,-25000.0,260967.8241734743
150000,-25000.0,329760.71536541823
175000,-25000.0,379724.75187648623
200000,-25000.0,417546.93638496724
225000,-25000.0,438368.33782035875
250000,-25000.0,450630.2932596917
275000,-25000.0,449280.2566725637
300000,-25000.0,450614.919689198
325000,-25000.0,452997.2947989818
350000,-25000.0,458313.85850142076
375000,-25000.0,459706.5856414814
400000,-25000.0,464280.2863321723
425000,-25000.0,470334.32405434945
450000,-25000.0,469645.2094392071
475000,-25000.0,463716.40017288993
500000,-25000.0,455920.2432226857
525000,-25000.0,454626.16695322515
550000,-25000.0,454661.2843137111
575000,-25000.0,460177.12824675255
600000,-25000.0,461198.79187972617
625000,-25000.0,462120.73954240576
650000,-25000.0,464558.39802572137
675000,-25000.0,478526.4888466254
700000,-25000.0,485349.0672849735
725000,-25000.0,479333.34934955445
750000,-25000.0,465856.2525062328
775000,-25000.0,454006.9618184546
800000,-25000.0,457251.86506459775
825000,-25000.0,461506.05463811895
850000,-25000.0,462226.5674698955
875000,-25000.0,456243.3136679642
900000,-25000.0,451303.21563702
925000,-25000.0,458186.29666032566
950000,-25000.0,465453.56541934324
975000,-25000.0,471847.8769068971
1000000,-25000.0,472275.54460494017
