Training Step,Reward,Value Error
25000,-25000.0,12420.863632500354
50000,-25000.0,82293.44560723215
75000,-25000.0,157956.1243624429
100000,-25000.0,116676.43517146491
125000,-25000.0,91972.97093327873
150000,-25000.0,14440.83673048302
175000,-25000.0,21156.218337320704
200000,-25000.0,12930.0912739888
225000,-25000.0,9050.58703918867
250000,-25000.0,5773.052256109244
275000,-25000.0,5174.621110425684
300000,-25000.0,5998.453441996297
325000,-25000.0,10308.902011096097
350000,-25000.0,16704.99572773058
375000,-25000.0,7430.516627724044
400000,-25000.0,6896.685727589065
425000,-25000.0,5594.335438615066
450000,-25000.0,7987.55030240117
475000,-25000.0,7145.321295747867
500000,-25000.0,4647.039781045728
525000,-25000.0,3447.0943360615593
550000,-25000.0,3716.9023155050445
575000,-25000.0,4098.028341352193
600000,-25000.0,5194.68415759541
625000,-25000.0,3977.6763913160034
650000,-25000.0,3922.758085537146
675000,-25000.0,4564.049002154536
700000,-25000.0,4251.50026698299
725000,-25000.0,3638.89475487843
750000,-25000.0,4209.1238630209045
775000,-25000.0,4566.049861371708
800000,-25000.0,4798.18219823316
825000,-25000.0,4624.295883754816
850000,-25000.0,4189.977101157607
875000,-25000.0,3950.1229334732493
900000,-25000.0,4034.398433552868
925000,-25000.0,4989.517599882384
950000,-25000.0,5317.775560308619
975000,-25000.0,6289.427624627387
1000000,-25000.0,5306.21677464286
