Training Step,Reward,Value Error
25000,0.0,716.753649800253
50000,0.0,5007.435755062353
75000,0.0,17359.537203981967
100000,0.0,45452.097316219544
125000,0.0,60817.27545869345
150000,0.0,69984.51769006674
175000,0.0,72377.00799625914
200000,0.0,48369.35214314695
225000,0.0,34150.36453534589
250000,0.0,24020.269056759855
275000,0.0,5735.990498477265
300000,0.0,475.9079229624949
325000,0.0,520.2042005437537
350000,0.0,441.4498145200141
375000,0.0,458.8045549912851
400000,0.0,634.3796445500237
425000,0.0,359.9386982534604
450000,0.0,520.3809273173704
475000,0.0,613.197146551163
500000,0.0,576.0975183148956
525000,0.0,499.41443476697714
550000,0.0,965.3997174296385
575000,0.0,627.2827975168476
600000,0.0,310.45599099179594
625000,0.0,236.97247554531643
650000,0.0,285.19242732268003
675000,0.0,355.87034161273544
700000,0.0,785.3842326720572
725000,0.0,372.4832293121074
750000,0.0,316.73102456113287
775000,0.0,376.38161474994496
800000,0.0,492.6025468323813
825000,0.0,400.89813431545264
850000,0.0,319.4436434049484
875000,0.0,483.3656305931787
900000,0.0,205.63917619867632
925000,0.0,227.93631621439027
950000,0.0,298.41046461932206
975000,0.0,312.9801300964513
1000000,0.0,274.42474303068525
