Training Step,Steps,Reward
0,0.0,0.0
50000,0.0,0.0
100000,9.9925077488642,9.9925077488642
150000,17.141241319691044,17.141241319691044
200000,20.586415480745895,20.586415480745895
250000,15.11161640627258,15.11161640627258
300000,12.67759650649725,12.67759650649725
350000,10.671971850592458,10.671971850592458
400000,10.980857616268901,10.980857616268901
450000,6.9650498361958855,6.9650498361958855
500000,6.5363044663757135,6.5363044663757135
550000,4.573191299164903,4.573191299164903
600000,5.682064893263796,5.682064893263796
650000,7.65946395272059,7.65946395272059
700000,5.309954144701046,5.309954144701046
750000,4.283441437221283,4.283441437221283
800000,2.6970069664242455,2.6970069664242455
850000,3.010615642050348,3.010615642050348
900000,4.876619996098373,4.876619996098373
950000,4.368942989999013,4.368942989999013
1000000,5.282294911520101,5.282294911520101
