Training Step,Reward,Value Error
25000,-25000.0,13043.444638389094
50000,-25000.0,87878.84056593117
75000,-25000.0,158622.98568815057
100000,-25000.0,166114.6543968333
125000,-25000.0,182171.759518764
150000,-25000.0,127460.45589471818
175000,-25000.0,58320.885251752494
200000,-25000.0,44123.435136006134
225000,-25000.0,21915.137160344508
250000,-25000.0,8721.022824697504
275000,-25000.0,3794.340113761506
300000,-25000.0,4133.0040907516195
325000,-25000.0,4068.3120203761196
350000,-25000.0,4472.755872604541
375000,-25000.0,4269.764493068465
400000,-25000.0,4264.262024889988
425000,-25000.0,4614.907697143318
450000,-25000.0,4416.310332431529
475000,-25000.0,4237.984071888988
500000,-25000.0,4255.091740370322
525000,-25000.0,4062.4442588771863
550000,-25000.0,3719.8929263623845
575000,-25000.0,3826.660847288132
600000,-25000.0,3557.9143997485603
625000,-25000.0,3933.777114758417
650000,-25000.0,3776.8060940638084
675000,-25000.0,3567.0879064491855
700000,-25000.0,3687.2354587151667
725000,-25000.0,3875.3127393361347
750000,-25000.0,3633.5842476997327
775000,-25000.0,3838.1577527519826
800000,-25000.0,3672.7050221287473
825000,-25000.0,3604.4190816232667
850000,-25000.0,3824.838270056822
875000,-25000.0,3758.3755684439466
900000,-25000.0,3788.9061775115906
925000,-25000.0,3814.481621523077
950000,-25000.0,3927.272112740083
975000,-25000.0,3608.7427691984585
1000000,-25000.0,3346.8712472562866
