Training Step,Steps,Reward
0,200.0,-200.0
50000,199.95,-199.95
100000,188.36499999999998,-188.36499999999998
150000,141.01000000000002,-141.01000000000002
200000,116.36999999999998,-116.36999999999998
250000,104.00999999999999,-104.00999999999999
300000,99.455,-99.455
350000,100.57000000000002,-100.57000000000002
400000,100.83000000000001,-100.83000000000001
450000,100.295,-100.295
500000,100.14500000000001,-100.14500000000001
550000,100.24,-100.24
600000,104.78500000000001,-104.78500000000001
650000,101.53500000000001,-101.53500000000001
700000,106.50999999999999,-106.50999999999999
750000,106.41499999999999,-106.41499999999999
800000,103.87,-103.87
850000,100.505,-100.505
900000,104.58500000000001,-104.58500000000001
950000,101.61,-101.61
1000000,101.325,-101.325
