Training Step,Steps,Reward
0,200.0,-200.0
50000,199.75,-199.75
100000,191.13,-191.13
150000,171.33,-171.33
200000,144.28666666666666,-144.28666666666666
250000,122.40833333333335,-122.40833333333335
300000,110.91666666666667,-110.91666666666667
350000,106.40833333333332,-106.40833333333332
400000,105.31333333333333,-105.31333333333333
450000,104.22166666666665,-104.22166666666665
500000,103.77666666666669,-103.77666666666669
550000,105.92833333333333,-105.92833333333333
600000,107.39666666666669,-107.39666666666669
650000,109.41833333333334,-109.41833333333334
700000,105.94833333333334,-105.94833333333334
750000,105.12,-105.12
800000,103.88499999999999,-103.88499999999999
850000,105.91166666666668,-105.91166666666668
900000,104.94666666666666,-104.94666666666666
950000,103.85333333333334,-103.85333333333334
1000000,103.77666666666666,-103.77666666666666
