Training Step,Reward,Value Error
25000,-25000.0,12908.962746939478
50000,-25000.0,90659.18043704393
75000,-25000.0,159928.31498444223
100000,-25000.0,196339.89635975452
125000,-25000.0,153923.43539766787
150000,-25000.0,51665.41490559573
175000,-25000.0,101835.13909140835
200000,-25000.0,70268.12804083384
225000,-25000.0,7823.43187862779
250000,-25000.0,14295.432788586926
275000,-25000.0,14622.994707356967
300000,-25000.0,4390.692343636213
325000,-25000.0,2053.9834130143754
350000,-25000.0,1735.4489657927847
375000,-25000.0,2064.304298931562
400000,-25000.0,1642.1248801649178
425000,-25000.0,1333.9970896118746
450000,-25000.0,1359.7263631845008
475000,-25000.0,1165.8037756742935
500000,-25000.0,1258.2339278494935
525000,-25000.0,985.8520500276246
550000,-25000.0,1266.280881658425
575000,-25000.0,1794.068821121331
600000,-25000.0,1730.3300135191487
625000,-25000.0,1324.910385635353
650000,-25000.0,1168.0390930672183
675000,-25000.0,1356.252793472306
700000,-25000.0,1398.8472234501983
725000,-25000.0,1468.7016147624745
750000,-25000.0,1247.3690785996603
775000,-25000.0,1211.2054013091204
800000,-25000.0,1014.0492289015593
825000,-25000.0,1322.0148849407635
850000,-25000.0,1728.9831938921498
875000,-25000.0,1128.480352087275
900000,-25000.0,1089.3069002384727
925000,-25000.0,868.0273578134412
950000,-25000.0,996.4773722171751
975000,-25000.0,932.9714285770426
1000000,-25000.0,849.810975978641
