Training Step,Reward,Value Error
25000,-25000.0,13403.149380969733
50000,-25000.0,89191.9069920072
75000,-25000.0,200766.3759859866
100000,-25000.0,308867.46604345983
125000,-25000.0,404376.846667508
150000,-25000.0,473524.4494552972
175000,-25000.0,509860.42665139836
200000,-25000.0,513705.47794172226
225000,-25000.0,531304.8591031199
250000,-25000.0,517925.96967142355
275000,-25000.0,515307.51412360615
300000,-25000.0,513588.1979868467
325000,-25000.0,509400.47266907134
350000,-25000.0,537773.801422547
375000,-25000.0,530395.0552005286
400000,-25000.0,493573.96505583805
425000,-25000.0,514517.2274272411
450000,-25000.0,510880.486189154
475000,-25000.0,487283.9023754097
500000,-25000.0,494529.2957288891
525000,-25000.0,501333.9198813321
550000,-25000.0,505041.24222131324
575000,-25000.0,508042.7407145053
600000,-25000.0,502459.6526962692
625000,-25000.0,497295.83664484246
650000,-25000.0,488914.407866622
675000,-25000.0,452627.66835112683
700000,-25000.0,474345.2456719194
725000,-25000.0,463687.16315980704
750000,-25000.0,441788.4807231716
775000,-25000.0,439143.61404731293
800000,-25000.0,469272.59852133365
825000,-25000.0,438979.652260023
850000,-25000.0,422770.7676322434
875000,-25000.0,433031.703226908
900000,-25000.0,424401.2206705615
925000,-25000.0,430280.32729458576
950000,-25000.0,402222.5304792624
975000,-25000.0,384779.68676400033
1000000,-25000.0,360862.3224722948
