Training Step,Reward,Value Error
25000,-25000.0,13130.575929907936
50000,-25000.0,87122.83900818654
75000,-25000.0,206206.83573635278
100000,-25000.0,331803.2376627894
125000,-25000.0,419838.3760536893
150000,-25000.0,470780.25857614866
175000,-25000.0,545209.8288901756
200000,-25000.0,584373.5615754416
225000,-25000.0,588945.9824197274
250000,-25000.0,573653.6321246512
275000,-25000.0,631285.7860309482
300000,-25000.0,657780.934918791
325000,-25000.0,634942.7810761593
350000,-25000.0,653778.6709746085
375000,-25000.0,648306.1421615258
400000,-25000.0,651801.9753750116
425000,-25000.0,682251.0960123613
450000,-25000.0,653735.4941527098
475000,-25000.0,675936.4298872016
500000,-25000.0,690359.0954312868
525000,-25000.0,727185.758360751
550000,-25000.0,748679.6424280219
575000,-25000.0,756805.1766024735
600000,-25000.0,711588.204347942
625000,-25000.0,711249.9280430507
650000,-25000.0,685332.139609905
675000,-25000.0,682901.8665857539
700000,-25000.0,705818.1095061675
725000,-25000.0,726024.3673681282
750000,-25000.0,713109.7229512371
775000,-25000.0,676071.9632543251
800000,-25000.0,676689.1057517864
825000,-25000.0,645502.8381309137
850000,-25000.0,667348.6748727635
875000,-25000.0,686156.2150898799
900000,-25000.0,716155.9461511374
925000,-25000.0,687329.2422143444
950000,-25000.0,693271.1070355028
975000,-25000.0,701301.7113742828
1000000,-25000.0,654375.5103867464
