Training Step,Steps,Reward
0,0.0,0.0
50000,0.0,0.0
100000,0.0,0.0
150000,19.77,19.77
200000,21.606029829656347,21.606029829656347
250000,25.88950994128703,25.88950994128703
300000,24.27383158877065,24.27383158877065
350000,30.26761305422018,30.26761305422018
400000,34.25516749338704,34.25516749338704
450000,28.074073893897193,28.074073893897193
500000,27.939910969793733,27.939910969793733
550000,30.24031249838533,30.24031249838533
600000,29.008516421906176,29.008516421906176
650000,34.03733979029501,34.03733979029501
700000,32.48274349558547,32.48274349558547
750000,31.993257102083245,31.993257102083245
800000,21.926613965681064,21.926613965681064
850000,28.41255708309268,28.41255708309268
900000,22.68758966924429,22.68758966924429
950000,30.16548690142428,30.16548690142428
1000000,32.926510975200515,32.926510975200515
