Training Step,Steps,Reward
0,200.0,-200.0
50000,200.0,-200.0
100000,200.0,-200.0
150000,200.0,-200.0
200000,195.63333333333333,-195.63333333333333
250000,187.45166666666668,-187.45166666666668
300000,176.29,-176.29
350000,168.345,-168.345
400000,160.07166666666666,-160.07166666666666
450000,153.42000000000002,-153.42000000000002
500000,148.67833333333337,-148.67833333333337
550000,148.11333333333334,-148.11333333333334
600000,147.7266666666667,-147.7266666666667
650000,146.35666666666665,-146.35666666666665
700000,143.88166666666666,-143.88166666666666
750000,143.35333333333332,-143.35333333333332
800000,146.40166666666667,-146.40166666666667
850000,145.15166666666667,-145.15166666666667
900000,144.8683333333333,-144.8683333333333
950000,145.92333333333332,-145.92333333333332
1000000,148.83333333333334,-148.83333333333334
