Training Step,Steps,Reward
0,0.0,0.0
50000,0.0,0.0
100000,0.0,0.0
150000,0.0,0.0
200000,7.723754843914254,7.723754843914254
250000,16.355593356717367,16.355593356717367
300000,28.532084937719763,28.532084937719763
350000,31.167217984565468,31.167217984565468
400000,33.71766469338757,33.71766469338757
450000,31.060357834711862,31.060357834711862
500000,30.51102254446444,30.51102254446444
550000,29.250914503276988,29.250914503276988
600000,29.977436198762593,29.977436198762593
650000,30.82908323889922,30.82908323889922
700000,32.20798528421094,32.20798528421094
750000,32.50762025489812,32.50762025489812
800000,30.78009986750179,30.78009986750179
850000,30.677589622752606,30.677589622752606
900000,27.58164809822428,27.58164809822428
950000,28.841013314390565,28.841013314390565
1000000,28.273260257966424,28.273260257966424
