Training Step,Reward,Value Error
25000,0.0,339.2336934353187
50000,0.0,1310.0441677008912
75000,0.0,2977.7087492221312
100000,0.0,6507.895977914515
125000,0.0,13186.656085753299
150000,0.0,45781.94921221582
175000,0.0,84521.66445381696
200000,0.0,127952.29799321812
225000,0.0,158892.92648632274
250000,0.0,172197.03770388858
275000,0.0,178829.15787095032
300000,0.0,162767.7976560902
325000,0.0,152715.84972098542
350000,0.0,108689.18110491952
375000,0.0,86526.1030492997
400000,0.0,88352.42726202421
425000,0.0,91599.15197632648
450000,0.0,76608.32857613087
475000,0.0,38496.018589084946
500000,0.0,32700.413207734655
525000,0.0,24139.70267130139
550000,0.0,18797.28750160253
575000,0.0,12730.296557244752
600000,0.0,12515.333643672719
625000,0.0,20346.98180477551
650000,0.0,23663.53998515675
675000,0.0,42059.87944746192
700000,0.0,37657.61151231922
725000,0.0,52269.586535917326
750000,0.0,37324.96179624783
775000,0.0,32018.55691353524
800000,0.0,19452.15897200276
825000,0.0,14752.770253483104
850000,0.0,15471.395887085839
875000,0.0,9101.683024182545
900000,0.0,11708.03165679335
925000,0.0,13455.340310556365
950000,0.0,13372.365684035374
975000,0.0,11109.713088689323
1000000,0.0,8173.649549729373
