Training Step,Steps,Reward
0,200.0,-200.0
50000,200.0,-200.0
100000,200.0,-200.0
150000,198.58166666666668,-198.58166666666668
200000,189.57833333333335,-189.57833333333335
250000,173.025,-173.025
300000,152.295,-152.295
350000,139.65333333333334,-139.65333333333334
400000,137.97,-137.97
450000,134.83833333333334,-134.83833333333334
500000,133.81499999999997,-133.81499999999997
550000,128.18,-128.18
600000,128.39,-128.39
650000,122.58833333333332,-122.58833333333332
700000,120.35833333333335,-120.35833333333335
750000,120.27166666666669,-120.27166666666669
800000,124.08333333333333,-124.08333333333333
850000,121.90000000000002,-121.90000000000002
900000,118.65666666666668,-118.65666666666668
950000,114.13499999999999,-114.13499999999999
1000000,113.43666666666667,-113.43666666666667
