Training Step,Steps,Reward
0,200.0,-200.0
50000,200.0,-200.0
100000,194.225,-194.225
150000,193.1,-193.1
200000,160.3,-160.3
250000,132.14499999999998,-132.14499999999998
300000,131.13500000000002,-131.13500000000002
350000,124.05999999999999,-124.05999999999999
400000,125.6,-125.6
450000,124.02499999999998,-124.02499999999998
500000,121.13499999999999,-121.13499999999999
550000,113.3,-113.3
600000,104.06500000000001,-104.06500000000001
650000,115.46999999999998,-115.46999999999998
700000,127.12,-127.12
750000,125.51999999999998,-125.51999999999998
800000,122.73000000000002,-122.73000000000002
850000,122.13,-122.13
900000,127.4,-127.4
950000,115.00999999999999,-115.00999999999999
1000000,113.85499999999999,-113.85499999999999
