Training Step,Reward,Value Error
25000,-25000.0,14129.052684008395
50000,-25000.0,82059.77243880753
75000,-25000.0,183331.5650926167
100000,-25000.0,230138.9753545653
125000,-25000.0,210579.19963342324
150000,-25000.0,285507.6469799243
175000,-25000.0,79373.84006358683
200000,-25000.0,328122.20584745705
225000,-25000.0,235981.45225482434
250000,-25000.0,120716.5288510099
275000,-25000.0,26053.67869914323
300000,-25000.0,10645.524466365576
325000,-25000.0,8670.072958566248
350000,-25000.0,7098.9171299263835
375000,-25000.0,18428.10617430508
400000,-25000.0,27172.47827335447
425000,-25000.0,14236.08403673023
450000,-25000.0,12746.36411741376
475000,-25000.0,16825.298918515444
500000,-25000.0,18554.288871467113
525000,-25000.0,19958.596154615283
550000,-25000.0,17604.066079571843
575000,-25000.0,14562.591178998351
600000,-25000.0,10661.776816658676
625000,-25000.0,10398.046253092587
650000,-25000.0,12383.088489979506
675000,-25000.0,10605.707988850772
700000,-25000.0,11376.9414768368
725000,-25000.0,28347.98958352208
750000,-25000.0,11894.219896689057
775000,-25000.0,9097.60558399558
800000,-25000.0,10062.52477659285
825000,-25000.0,12311.852882742882
850000,-25000.0,26123.589655965567
875000,-25000.0,37444.018527671695
900000,-25000.0,8707.370225124061
925000,-25000.0,6597.09515080601
950000,-25000.0,7543.592032521963
975000,-25000.0,16130.739182665944
1000000,-25000.0,21692.120656073093
