Training Step,Reward,Value Error
25000,-25000.0,13217.780351388257
50000,-25000.0,90136.81593650886
75000,-25000.0,197482.57045966107
100000,-25000.0,294410.846711309
125000,-25000.0,367839.2955477183
150000,-25000.0,375685.07313668326
175000,-25000.0,403637.4385845029
200000,-25000.0,330347.54441512376
225000,-25000.0,233553.29011993777
250000,-25000.0,194670.81338597415
275000,-25000.0,185656.60096603428
300000,-25000.0,128969.09896219001
325000,-25000.0,103729.13917480037
350000,-25000.0,101917.01726781428
375000,-25000.0,88199.7482684046
400000,-25000.0,84799.61198122054
425000,-25000.0,83024.85408344939
450000,-25000.0,62644.25109629631
475000,-25000.0,42148.32564228773
500000,-25000.0,37817.11975653246
525000,-25000.0,26404.67889667824
550000,-25000.0,32600.11814256981
575000,-25000.0,26915.308485872672
600000,-25000.0,23160.900373752414
625000,-25000.0,22202.806938201935
650000,-25000.0,18927.149127534405
675000,-25000.0,24389.244008652866
700000,-25000.0,21145.71589770466
725000,-25000.0,18940.69305399172
750000,-25000.0,30460.463097658754
775000,-25000.0,24245.583871058374
800000,-25000.0,15414.918191614002
825000,-25000.0,14364.164706208558
850000,-25000.0,19356.14604042545
875000,-25000.0,16847.138519351185
900000,-25000.0,14587.5435937427
925000,-25000.0,18710.298461622
950000,-25000.0,16457.330534829944
975000,-25000.0,14444.782875674218
1000000,-25000.0,16130.8596668832
