Training Step,Steps,Reward
0,0.0,0.0
50000,0.0,0.0
100000,0.0,0.0
150000,3.4424571327920876,3.4424571327920876
200000,13.980681340145262,13.980681340145262
250000,22.015921259124383,22.015921259124383
300000,27.994784657741658,27.994784657741658
350000,25.97947417360153,25.97947417360153
400000,26.96585704532796,26.96585704532796
450000,25.162932378899338,25.162932378899338
500000,24.649801736394526,24.649801736394526
550000,20.666223098819124,20.666223098819124
600000,17.89190150613806,17.89190150613806
650000,18.139254060072677,18.139254060072677
700000,19.150524836015993,19.150524836015993
750000,18.288673560988073,18.288673560988073
800000,13.282421994136966,13.282421994136966
850000,11.275208072652939,11.275208072652939
900000,12.263242166876111,12.263242166876111
950000,13.895538984076802,13.895538984076802
1000000,15.192768979108905,15.192768979108905
