Training Step,Reward,Value Error
12500,-1.0,1161.8493088672533
25000,-1.0,10688.43833102734
37500,-1.0,29877.912343661534
50000,-1.0,55335.906960553024
62500,-1.0,79383.01830623765
75000,-1.0,97819.76053926535
87500,-1.0,116188.97926491406
100000,-1.0,135627.01144601218
112500,-1.0,147292.30217574164
125000,-1.0,155359.3727820702
137500,-1.0,164039.49184627458
150000,-1.0,176188.74845545366
162500,-1.0,176498.591542501
175000,-1.0,149969.4060016498
187500,-1.0,81815.0201741755
200000,-1.0,30355.003161668777
212500,-1.0,8859.58549708873
225000,-1.0,24945.38242035359
237500,-1.0,52430.6358974427
250000,-1.0,58523.3675146997
262500,-1.0,37816.32809700072
275000,-1.0,31763.237374812365
287500,-1.0,24367.40794698149
300000,-1.0,9098.721796378493
312500,-1.0,4833.120116338134
325000,-1.0,6864.304972700775
337500,-1.0,12146.126101791859
350000,-1.0,10765.558554530144
362500,-1.0,8550.499058276415
375000,-1.0,7160.782589033246
387500,-1.0,7902.915200769901
400000,-1.0,6231.175499260426
412500,-1.0,5384.535494714975
425000,-1.0,3386.3281241580844
437500,-1.0,3867.2307832688093
450000,-1.0,3715.6787473857403
462500,-1.0,4449.260702103376
475000,-1.0,3824.991895854473
487500,-1.0,4512.730127319694
500000,-1.0,4243.252970486879
