Training Step,Steps,Reward
0,200.0,-200.0
25000,200.0,-200.0
50000,200.0,-200.0
75000,193.225,-193.225
100000,176.06,-176.06
125000,144.87,-144.87
150000,138.88000000000002,-138.88000000000002
175000,136.305,-136.305
200000,141.885,-141.885
225000,123.52000000000001,-123.52000000000001
250000,115.77500000000002,-115.77500000000002
275000,122.545,-122.545
300000,122.55499999999998,-122.55499999999998
325000,115.725,-115.725
350000,120.78000000000002,-120.78000000000002
375000,128.275,-128.275
400000,122.92999999999999,-122.92999999999999
425000,116.08500000000001,-116.08500000000001
450000,109.505,-109.505
475000,109.59499999999998,-109.59499999999998
500000,109.81500000000001,-109.81500000000001
