Training Step,Steps,Reward
0,0.0,0.0
25000,0.0,0.0
50000,0.0,0.0
75000,6.08715062880637,6.08715062880637
100000,16.18489735215455,16.18489735215455
125000,24.94806585573944,24.94806585573944
150000,28.51606986635294,28.51606986635294
175000,23.4839285691442,23.4839285691442
200000,23.936260443847093,23.936260443847093
225000,19.83586952577487,19.83586952577487
250000,19.60896944760243,19.60896944760243
275000,15.665256927548539,15.665256927548539
300000,16.274345942562746,16.274345942562746
325000,14.89359639728226,14.89359639728226
350000,16.460681090703194,16.460681090703194
375000,16.07962491924928,16.07962491924928
400000,19.669266027724913,19.669266027724913
425000,22.418499678837946,22.418499678837946
450000,22.94956550816488,22.94956550816488
475000,19.890476045493543,19.890476045493543
500000,13.565225187358658,13.565225187358658
