Training Step,Reward,Value Error
12500,0.0,33.857832690142914
25000,0.0,274.8433443127037
37500,0.0,698.8861860938474
50000,0.0,1859.0999501422914
62500,0.0,2700.6406755300004
75000,0.0,3183.538031390263
87500,0.0,4907.777137268468
100000,0.0,13752.072759909035
112500,0.0,32388.629232873995
125000,0.0,44567.68406395998
137500,0.0,50601.386712849475
150000,0.0,47284.76366847781
162500,0.0,53081.48717276651
175000,0.0,62216.30181668116
187500,0.0,53188.74720734291
200000,0.0,60499.44725779712
212500,0.0,59991.323674858686
225000,0.0,55313.279532760134
237500,0.0,39428.46598530115
250000,0.0,25876.89704491864
262500,0.0,17002.347683957163
275000,0.0,8537.435880038403
287500,0.0,5890.782858941383
300000,0.0,4887.344278541663
312500,0.0,8921.689026440574
325000,0.0,18502.420539121416
337500,0.0,18775.262201085206
350000,0.0,13551.199962934586
362500,0.0,17996.462727010487
375000,0.0,14078.205855615917
387500,0.0,9769.877851252477
400000,0.0,7011.3146755725065
412500,0.0,5877.210122609054
425000,0.0,5462.305254706813
437500,0.0,3731.131797320957
450000,0.0,3317.8781261709396
462500,0.0,5821.623256419168
475000,0.0,9305.60779192631
487500,0.0,17040.877753341403
500000,0.0,29486.025661705084
