Training Step,Reward,Value Error
12500,-1.0,1122.7135884863073
25000,-1.0,10882.267988232896
37500,-1.0,28231.08463765215
50000,-1.0,49456.52529465966
62500,-1.0,70137.18332171254
75000,-1.0,88091.8193286173
87500,-1.0,102307.40426532552
100000,-1.0,89489.50807507336
112500,-1.0,71580.25871715695
125000,-1.0,66088.47283282876
137500,-1.0,47524.29908505827
150000,-1.0,21491.027764715254
162500,-1.0,13682.680703498423
175000,-1.0,19196.714350782335
187500,-1.0,23645.14562611282
200000,-1.0,16877.83908074349
212500,-1.0,9364.96991033107
225000,-1.0,6571.165953397751
237500,-1.0,4314.22902970016
250000,-1.0,3505.6666477918625
262500,-1.0,4055.0078306794167
275000,-1.0,5087.168822467327
287500,-1.0,5297.068674355745
300000,-1.0,4454.7726919054985
312500,-1.0,3465.2363040596247
325000,-1.0,3604.5972693040967
337500,-1.0,12421.898242883384
350000,-1.0,12493.836137980223
362500,-1.0,8831.936403617263
375000,-1.0,6109.630212530494
387500,-1.0,6788.980221942067
400000,-1.0,4286.805476337671
412500,-1.0,4588.610799431801
425000,-1.0,4039.131311953068
437500,-1.0,4364.166501939297
450000,-1.0,5063.694105178118
462500,-1.0,5290.9206184744835
475000,-1.0,5161.105954661965
487500,-1.0,6669.727868169546
500000,-1.0,9604.353662192822
