Training Step,Reward,Value Error
12500,-1.0,1517.6889378986234
25000,-1.0,11680.659909585258
37500,-1.0,32797.76186665494
50000,-1.0,60995.029236981645
62500,-1.0,87886.4104287608
75000,-1.0,109286.46808757889
87500,-1.0,133975.97145633912
100000,-1.0,157119.16922348645
112500,-1.0,179527.89809498005
125000,-1.0,200653.8308569491
137500,-1.0,210144.63967903424
150000,-1.0,230710.00772730727
162500,-1.0,250516.2663040897
175000,-1.0,271328.9561735494
187500,-1.0,287329.9804008752
200000,-1.0,295972.8258143123
212500,-1.0,287525.4171928698
225000,-1.0,284378.46379868314
237500,-1.0,288571.7327918839
250000,-1.0,313501.9448612947
262500,-1.0,324673.1238046121
275000,-1.0,302795.27554187924
287500,-1.0,304682.2589331232
300000,-1.0,317374.92857854255
312500,-1.0,335177.64617072046
325000,-1.0,344267.9269983843
337500,-1.0,324299.36534740403
350000,-1.0,305886.41777863353
362500,-1.0,285395.11429041624
375000,-1.0,279603.30470481515
387500,-1.0,298533.8379104361
400000,-1.0,271399.64964006096
412500,-1.0,232510.4603800997
425000,-1.0,150339.13648696244
437500,-1.0,64743.26227322221
450000,-1.0,108429.97641006112
462500,-1.0,133256.80249902606
475000,-1.0,61780.86420041323
487500,-1.0,9409.393021777272
500000,-1.0,8270.09655494988
