Training Step,Reward,Value Error
12500,-1.0,946.3340186362911
25000,-1.0,10813.17517868799
37500,-1.0,28206.45462088537
50000,-1.0,48390.3773269176
62500,-1.0,70859.9832810578
75000,-1.0,97937.99717624765
87500,-1.0,119603.37011927553
100000,-1.0,144516.14051222056
112500,-1.0,180610.38780401368
125000,-1.0,171522.88252633624
137500,-1.0,138242.256337028
150000,-1.0,67501.73302205652
162500,-1.0,36666.937576286495
175000,-1.0,38451.71260935813
187500,-1.0,47946.875494495034
200000,-1.0,37382.992237865925
212500,-1.0,65644.8749705106
225000,-1.0,65270.311965987086
237500,-1.0,24882.726857230067
250000,-1.0,5315.715298391879
262500,-1.0,5072.937395274639
275000,-1.0,5295.893995970488
287500,-1.0,8439.562318392098
300000,-1.0,9173.871226809919
312500,-1.0,16126.919323131442
325000,-1.0,14372.420715346932
337500,-1.0,7852.71161840111
350000,-1.0,4847.9496569260955
362500,-1.0,7167.19634051621
375000,-1.0,19545.565084680915
387500,-1.0,24601.04755651951
400000,-1.0,17894.80141092837
412500,-1.0,6359.460025727749
425000,-1.0,8316.720847636461
437500,-1.0,7803.024389386177
450000,-1.0,5388.821662515402
462500,-1.0,4792.4196664094925
475000,-1.0,4879.719245031476
487500,-1.0,5311.417561396956
500000,-1.0,5730.494518712163
