Training Step,Reward,Value Error
12500,-1.0,1425.3973380094617
25000,-1.0,11906.756710664307
37500,-1.0,31756.17944719583
50000,-1.0,56772.50857717417
62500,-1.0,83774.75150163166
75000,-1.0,110731.08530410852
87500,-1.0,136294.44245998617
100000,-1.0,158055.89940637667
112500,-1.0,174935.96495000264
125000,-1.0,175913.65686606785
137500,-1.0,162980.09065878726
150000,-1.0,151172.8737829526
162500,-1.0,149691.33460692625
175000,-1.0,157919.89954295877
187500,-1.0,176318.79208658932
200000,-1.0,187590.1860022517
212500,-1.0,161831.37377705658
225000,-1.0,110922.66170862652
237500,-1.0,95473.16262103376
250000,-1.0,101988.85451981406
262500,-1.0,99681.07379501146
275000,-1.0,80871.98224941194
287500,-1.0,64332.06706385799
300000,-1.0,56509.87118693907
312500,-1.0,54573.33577408567
325000,-1.0,53005.84128189534
337500,-1.0,49933.94528276138
350000,-1.0,44576.94353613704
362500,-1.0,38971.48164346665
375000,-1.0,40350.79426759035
387500,-1.0,44133.93968856707
400000,-1.0,41513.730754901466
412500,-1.0,35181.170464416595
425000,-1.0,26710.89471521303
437500,-1.0,24537.282005328685
450000,-1.0,37723.54719376266
462500,-1.0,36207.64043038599
475000,-1.0,18731.52665023729
487500,-1.0,9562.696716020257
500000,-1.0,10511.29733679369
