Training Step,Reward,Value Error
12500,-1.0,1119.6316112676711
25000,-1.0,6176.358921637548
37500,-1.0,13905.152140627635
50000,-1.0,30350.094010162993
62500,-1.0,50355.11798276339
75000,-1.0,70917.32552949052
87500,-1.0,90991.79779895388
100000,-1.0,107254.30839604714
112500,-1.0,118028.57518827268
125000,-1.0,122067.34983154938
137500,-1.0,124354.89884065873
150000,-1.0,128832.89615715743
162500,-1.0,131422.89359952908
175000,-1.0,120953.19910066122
187500,-1.0,94713.4591662207
200000,-1.0,69036.04519675822
212500,-1.0,59683.227143171556
225000,-1.0,61041.00193122464
237500,-1.0,56693.14348507896
250000,-1.0,43975.60726848928
262500,-1.0,33351.38003847115
275000,-1.0,30910.761180255187
287500,-1.0,31013.93604526408
300000,-1.0,28563.20532898344
312500,-1.0,22519.744800236575
325000,-1.0,15277.732025207208
337500,-1.0,10633.670661718523
350000,-1.0,8606.192238246153
362500,-1.0,8388.413346387695
375000,-1.0,7085.336927217494
387500,-1.0,5728.82065649641
400000,-1.0,5258.483005403355
412500,-1.0,5791.580361839756
425000,-1.0,6213.478433044504
437500,-1.0,6784.818263274679
450000,-1.0,7907.869318206608
462500,-1.0,9117.69543037042
475000,-1.0,8703.915046238402
487500,-1.0,7418.6438197607795
500000,-1.0,6624.676089956859
