Training Step,Reward,Value Error
12500,-1.0,1153.8387107931712
25000,-1.0,11186.467833019095
37500,-1.0,29334.29516535881
50000,-1.0,50885.049571859185
62500,-1.0,70650.17897616792
75000,-1.0,89711.28661725298
87500,-1.0,118108.8199093733
100000,-1.0,137415.50026409887
112500,-1.0,145034.84239545465
125000,-1.0,144631.11380070448
137500,-1.0,154023.83335212618
150000,-1.0,180741.31271776743
162500,-1.0,146918.91962091625
175000,-1.0,64476.07452929765
187500,-1.0,11322.736968964338
200000,-1.0,31683.37085174024
212500,-1.0,102287.95825846493
225000,-1.0,119875.57790720463
237500,-1.0,48371.98649857938
250000,-1.0,8427.453634813428
262500,-1.0,4621.179389886558
275000,-1.0,4375.526850551367
287500,-1.0,5051.362103134394
300000,-1.0,4218.415487267077
312500,-1.0,2498.75239546597
325000,-1.0,2901.960248209536
337500,-1.0,3410.1335902810097
350000,-1.0,3723.6214687377214
362500,-1.0,4914.118941798806
375000,-1.0,6165.15997235477
387500,-1.0,6630.289373412728
400000,-1.0,5199.404703259468
412500,-1.0,5235.110621243715
425000,-1.0,4758.559257373214
437500,-1.0,5112.836992233992
450000,-1.0,5756.242778643966
462500,-1.0,6703.670907601714
475000,-1.0,6582.306955128908
487500,-1.0,6458.703586965799
500000,-1.0,6028.3705201298
