Training Step,Reward,Value Error
25000,-63603.0,102643.35109236832
50000,-56676.0,88463.27154362835
75000,-52800.0,148820.35592158028
100000,-49866.0,193658.56807363042
125000,-46459.0,271228.4559785865
150000,-43474.0,307154.8919436753
175000,-41016.0,337100.7759399068
200000,-37353.0,351201.43675323675
225000,-34069.0,349687.67593306256
250000,-30442.0,347925.9657138802
275000,-28611.0,374324.7046857251
300000,-28745.0,395053.79896169103
325000,-28645.0,425190.0756236624
350000,-28481.0,430895.1274489697
375000,-28756.0,435986.37323533744
400000,-28632.0,439943.3957153407
425000,-28618.0,465051.42751327314
450000,-28723.0,432877.4065532365
475000,-28653.0,447569.57399672334
500000,-28653.0,467289.4456902603
525000,-28511.0,470657.14850245975
550000,-28625.0,453034.7099796596
575000,-28774.0,459304.5277597711
600000,-28488.0,448389.40206175
625000,-28485.0,452388.82361955225
650000,-28644.0,457097.7227281713
675000,-28566.0,456535.7252027734
700000,-28483.0,450156.06928839366
725000,-28477.0,473066.86933588516
750000,-28519.0,470719.12407450826
775000,-28462.0,483391.13639455684
800000,-28649.0,480744.7617970098
825000,-28753.0,493625.55636425543
850000,-28324.0,483484.18211741763
875000,-28330.0,490339.35046084155
900000,-28436.0,485007.22625312535
925000,-28792.0,487270.24568802275
950000,-28417.0,499347.21133588784
975000,-28587.0,474108.5733103883
1000000,-28701.0,484531.63650459313
