Training Step,Reward,Value Error
25000,-98022.0,0.0
50000,-97800.0,0.0
75000,-97891.0,0.0
100000,-98594.0,0.0
125000,-98204.0,0.0
150000,-98473.0,0.0
175000,-99018.0,0.0
200000,-97612.0,0.0
225000,-98511.0,0.0
250000,-97499.0,0.0
275000,-97956.0,0.0
300000,-97885.0,0.0
325000,-97657.0,0.0
350000,-97894.0,0.0
375000,-98094.0,0.0
400000,-97890.0,0.0
425000,-98299.0,0.0
450000,-98191.0,0.0
475000,-97926.0,0.0
500000,-98005.0,0.0
525000,-97032.0,0.0
550000,-97956.0,0.0
575000,-98238.0,0.0
600000,-98797.0,0.0
625000,-98426.0,0.0
650000,-97550.0,0.0
675000,-97938.0,0.0
700000,-98447.0,0.0
725000,-98976.0,0.0
750000,-98062.0,0.0
775000,-98229.0,0.0
800000,-98238.0,0.0
825000,-98321.0,0.0
850000,-97840.0,0.0
875000,-97835.0,0.0
900000,-97890.0,0.0
925000,-98761.0,0.0
950000,-98777.0,0.0
975000,-98032.0,0.0
1000000,-97892.0,0.0
