Training Step,Reward,Value Error
25000,-89428.0,0.0
50000,-70475.0,0.0
75000,-53529.0,0.0
100000,-36237.0,0.0
125000,-28377.0,0.0
150000,-28051.0,0.0
175000,-28156.0,0.0
200000,-28030.0,0.0
225000,-28116.0,0.0
250000,-28065.0,0.0
275000,-27892.0,0.0
300000,-27894.0,0.0
325000,-27827.0,0.0
350000,-27841.0,0.0
375000,-27814.0,0.0
400000,-27731.0,0.0
425000,-27620.0,0.0
450000,-27533.0,0.0
475000,-27528.0,0.0
500000,-27571.0,0.0
525000,-27633.0,0.0
550000,-27669.0,0.0
575000,-27465.0,0.0
600000,-27422.0,0.0
625000,-27490.0,0.0
650000,-27417.0,0.0
675000,-27448.0,0.0
700000,-27528.0,0.0
725000,-27419.0,0.0
750000,-27475.0,0.0
775000,-27325.0,0.0
800000,-27323.0,0.0
825000,-27369.0,0.0
850000,-27186.0,0.0
875000,-27310.0,0.0
900000,-27252.0,0.0
925000,-27369.0,0.0
950000,-27095.0,0.0
975000,-27116.0,0.0
1000000,-27088.0,0.0
