Training Step,Reward,Value Error
25000,-89131.0,0.0
50000,-71128.0,0.0
75000,-53206.0,0.0
100000,-36058.0,0.0
125000,-28393.0,0.0
150000,-28033.0,0.0
175000,-27979.0,0.0
200000,-27736.0,0.0
225000,-28114.0,0.0
250000,-28015.0,0.0
275000,-27898.0,0.0
300000,-27745.0,0.0
325000,-27493.0,0.0
350000,-27709.0,0.0
375000,-27664.0,0.0
400000,-27511.0,0.0
425000,-27457.0,0.0
450000,-27619.0,0.0
475000,-27313.0,0.0
500000,-27592.0,0.0
525000,-27637.0,0.0
550000,-27700.0,0.0
575000,-27322.0,0.0
600000,-27115.0,0.0
625000,-27367.0,0.0
650000,-27376.0,0.0
675000,-27484.0,0.0
700000,-27619.0,0.0
725000,-27499.0,0.0
750000,-27808.0,0.0
775000,-27232.0,0.0
800000,-27547.0,0.0
825000,-27544.0,0.0
850000,-27391.0,0.0
875000,-27241.0,0.0
900000,-27421.0,0.0
925000,-27361.0,0.0
950000,-27103.0,0.0
975000,-27019.0,0.0
1000000,-27268.0,0.0
