Training Step,Reward,Value Error
2500,-9718.0,0.0
5000,-10039.0,0.0
7500,-9643.0,0.0
10000,-10222.0,0.0
12500,-9700.0,0.0
15000,-9538.0,0.0
17500,-9412.0,0.0
20000,-9457.0,0.0
22500,-9799.0,0.0
25000,-9736.0,0.0
27500,-9850.0,0.0
30000,-9799.0,0.0
32500,-9706.0,0.0
35000,-9445.0,0.0
37500,-9619.0,0.0
40000,-9628.0,0.0
42500,-9523.0,0.0
45000,-9961.0,0.0
47500,-9871.0,0.0
50000,-10291.0,0.0
52500,-10021.0,0.0
55000,-10111.0,0.0
57500,-9772.0,0.0
60000,-9736.0,0.0
62500,-9934.0,0.0
65000,-9439.0,0.0
67500,-9880.0,0.0
70000,-9715.0,0.0
72500,-10129.0,0.0
75000,-9628.0,0.0
77500,-9487.0,0.0
80000,-9736.0,0.0
82500,-9841.0,0.0
85000,-9880.0,0.0
87500,-9772.0,0.0
90000,-9832.0,0.0
92500,-9781.0,0.0
95000,-9745.0,0.0
97500,-9508.0,0.0
100000,-9781.0,0.0
