Training Step,Steps,Reward
0,0.0,734.5771440767811
10000,0.0,26.594999999999995
20000,4.602197844508644,65.97063664995207
30000,12.582670622725526,32.41700518246559
40000,42.488153937303515,47.314320242395965
50000,38.81335594869375,43.25193637283769
60000,48.27584825769507,53.81501672395912
70000,63.78510484431299,71.05871093680211
80000,39.341366587855084,43.78075604646407
90000,37.62881376020243,41.948975255660294
100000,34.03991223549203,37.80098179941891
110000,24.990872833896777,27.824934860660502
120000,25.53877639981994,28.355565591255626
130000,24.869859267796436,27.700780223668794
140000,28.092456282781683,31.240864264613425
150000,13.684594440464796,15.244835190975335
160000,8.416687293704097,9.357478292788073
170000,24.55933834613628,27.390956993139177
180000,25.260128661588407,28.076263996479305
190000,3.5678284712132675,3.5678284712132675
200000,24.31171733958751,26.82967759776475
