Training Step,Steps,Reward
0,200.0,-567.74
10000,200.0,-208.91
20000,198.66,-239.21999999999997
30000,185.26,-192.43
40000,137.235,-138.32999999999998
50000,107.05499999999999,-96.24
60000,93.3,-81.015
70000,77.22999999999999,-63.160000000000004
80000,48.910000000000004,-31.585
90000,33.115,-14.110000000000003
100000,28.484999999999996,-8.85
110000,31.589999999999996,-12.270000000000001
120000,30.43,-11.110000000000001
130000,27.74,-8.000000000000002
140000,25.58,-5.63
150000,21.675,-1.3049999999999997
160000,23.225,-3.065
170000,20.755000000000003,-0.28000000000000036
180000,21.450000000000003,-1.08
190000,21.155,-0.6800000000000003
200000,27.225,-7.275
